Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
552,Molino Doll,Omixom,Sin asignar,Entre Rios,-32.33,-60.4,0,91030,Victoria,31/03/2017,12/01/2019
601,Monte Caseros,Omixom,Sin asignar,Corrientes,-30.25,-57.68,0,92023,Monte Caseros,31/03/2017,19/12/2018
496,Monte Quemado - EEA E Santiago,Nimbus THP,Monte Quemado,Santiago del Estero,-25.86,-62.71,203,A872954,"Ruta 16 - km 427,5",10/09/2015,14/02/2020
409,Montecarlo - EEA Montecarlo,Nimbus THP,Montecarlo,Misiones,-26.57,-54.73,200,A872911,"Av. El Libertador 2472, CP: 3384",22/08/2013,23/09/2020
568,Montoya,Omixom,Sin asignar,Entre Rios,-32.58,-59.89,0,91048,Victoria,31/03/2017,12/01/2019
595,Mora Cue,Omixom,Sin asignar,Corrientes,-28.36,-56.16,0,92005,Santo Tome,19/06/2017,12/01/2019
542,Moreira,Omixom,Sin asignar,Entre Rios,-31.22,-58.31,0,91017,Concordia,31/03/2017,04/08/2018
414,Morillo - EEA Salta,Nimbus THP,Coronel J. Sola,Salta,-23.46,-62.89,220,A872880,San Martín s/n e/ Belgrano y R8. CP; 4554,06/09/2013,01/04/2018
575,Mulitas,Omixom,Sin asignar,Entre Rios,-30.37,-58.98,0,91055,Feliciano,14/11/2017,02/12/2018
555,Nogoyá,Omixom,Sin asignar,Entre Rios,-32.41,-59.81,0,91034,Nogoyá,31/03/2017,12/01/2019
503,Nueva Pompeya - EEA Sáenz Peña,Nimbus THP,Nueva Pompeya,Chaco,-24.9,-61.47,173.800003051758,A872959,km 6; Depto Güemes,01/12/2015,04/03/2019
548,Oro Verde,Omixom,Sin asignar,Entre Rios,-31.85,-60.52,0,91026,Parana,31/03/2017,12/01/2019
379,P de Los Llanos - EEA La Rioja,Nimbus THP,Punta de Los Llanos,La Rioja,-30.15,-66.55,308,A872888,-,04/06/2012,23/09/2020
281,P Golondrinas - EEA Bariloche,Nimbus THP,Lago Puelo,Chubut,-41.96,-71.52,340,A872850,"Ruta 40km 1911, Pje Las Golondrinas",18/10/2011,19/06/2019
